maxChannels,phy_clusterID,clusterID,useTheseTimesStart,useTheseTimesStop,RPV_window_index,percentageSpikesMissing_gaussian,percentageSpikesMissing_symmetric,ksTest_pValue,presenceRatio,maxDriftEstimate,cumDriftEstimate,nSpikes,nPeaks,nTroughs,spatialDecaySlope,waveformBaselineFlatness,scndPeakToTroughRatio,mainPeakToTroughRatio,peak1ToPeak2Ratio,mainPeak_before_width,troughToPeak2Ratio,mainPeak_after_width,mainTrough_width,waveformDuration_peakTrough,rawAmplitude,signalToNoiseRatio,fractionRPVs_estimatedTauR
1,0,1,0,4475.87393333333,1,38.1966978590753,25.6378821546242,0,0.743243243243243,NaN,NaN,9705,1,1,0.0423516782494675,0.0213723352348219,0.312462957442567,0.312462957442567,0,11.2828451416395,2.7303386461368,16.3148433844353,7.31889019860457,600,NaN,NaN,1
1,1,2,0,4475.87393333333,1,42.8281872948649,40.1641963473687,0,1,NaN,NaN,24343,1,2,0.000495910443972846,1,0.980432744432795,0.980432744432795,0,2.63111907106382,NaN,10.6049575767945,6.13866315367845,400,NaN,NaN,1
3,2,3,0,4475.87393333333,1,50.0000000000002,40.9665650457294,0,0.972972972972973,NaN,NaN,5906,1,1,0.0269176679605477,0.048060834419918,0.431882225010218,0.431882225010218,0,38.7455479325226,1.58357481694257,16.8261523487432,8.75720438175537,733.333333333333,NaN,NaN,1
3,3,4,0,4475.87393333333,1,23.564796422044,34.838553046856,7.77006028088093e-39,0.810810810810811,NaN,NaN,1342,1,1,0.0405807885914017,0.00990699333425169,0.23479161950933,0.23479161950933,0,201.614176160061,1.66979880703568,19.4459605903465,4.06445917841715,300,NaN,NaN,1
5,4,5,0,4475.87393333333,1,50.0000000000002,44.8275862068966,0,0.945945945945946,NaN,NaN,3784,2,1,0.0170961826162916,0.0388884812570426,0.304664279909378,0.304664279909378,0,3.88705412677938,3.29733463751385,18.199569711898,8.82280564783783,600,NaN,NaN,1
7,5,6,0,4475.87393333333,1,5.10158447915565,14.1641175688256,2.22309739203034e-09,0.527027027027027,NaN,NaN,6454,1,1,0.0258004146250035,0.0449263204285667,0.297345177058412,0.297345177058412,0,73.9391407981239,NaN,17.5944719619763,6.02663817349997,666.666666666667,NaN,NaN,0.982237865269706
7,6,7,0.325366666666667,4475.87393333333,1,9.53487466759384e-07,10.8460580640933,0.78227720901006,0.824324324324324,NaN,NaN,13605,1,1,0.0173137302203023,0.0269329932528595,0.492255685851651,0.492255685851651,0,47.7159190057515,1.43937492390393,10.6535051758058,4.13666344059009,266.666666666667,NaN,NaN,0.0329025217284871
6,7,8,0,4475.87393333333,1,50.0000000000001,43.5643564356436,1.23458636461731e-19,0.689189189189189,NaN,NaN,171,1,1,0.0132843292625295,0.01937421483779,0.288174138358464,0.288174138358464,0,320.744956763534,NaN,18.7755512554355,4.0493848787865,600,NaN,NaN,1
10,8,9,0,4475.87393333333,1,0.688108890327954,12.3595505617977,0.163595133011068,0.864864864864865,NaN,NaN,390,1,1,0.0138285448534639,0.0452253464694634,0.303426770517659,0.303426770517659,0,223.752892200057,NaN,18.62660817959,5.7202201227283,600,NaN,NaN,0.676498444053579
12,9,10,0,4475.87393333333,1,50.0000000000002,25.3731343283582,4.74543357901315e-09,0.337837837837838,NaN,NaN,75,1,1,0.0252077593525339,0.0294770686036623,0.292315429062581,0.292315429062581,0,175.76638504633,NaN,18.4420164442294,5.58983339701277,633.333333333333,NaN,NaN,1
13,10,11,0.325366666666667,4475.87393333333,1,0.000408992540190667,0,0.30168238543486,0.716216216216216,NaN,NaN,452,2,1,0.0138198285608959,0.00851793649907866,0.172714609653589,0.216022951498255,0,4.62913775163413,2.86330277402418,7.80384131807125,2.91782423801501,233.333333333333,NaN,NaN,0
15,11,12,0.325366666666667,4475.87393333333,1,0.13911623375682,0,0.0554257137958877,0.824324324324324,NaN,NaN,1458,2,1,0.0183929997506457,0.0163392678141811,0.130071708064398,0.628469682414995,4.83171699493515,1.59116665128116,2.18868997378473,19.5069398109598,4.09399277913637,700,NaN,NaN,0
13,12,13,0,4475.87393333333,1,50,50,NaN,1,NaN,NaN,14750,1,1,0.0159247341265395,0.0718602475249687,0.494620373281744,0.494620373281744,0,22.8802766106042,1.0208312136964,14.3051119669485,6.32906363417449,300,NaN,NaN,1
17,13,14,0.325366666666667,4475.87393333333,1,12.7921676095474,0,4.64121926788739e-08,0.932432432432432,NaN,NaN,871,1,1,0.0255365517794344,0.0154784694667433,0.275772765789014,0.275772765789014,0,19.272160760389,1.06468112633971,21.4431654185697,4.73130089254801,533.333333333333,NaN,NaN,0
18,14,15,0,4475.87393333333,1,2.61164117854126,0,1.36600728355035e-45,0.608108108108108,NaN,NaN,11259,1,1,0.025645675858777,0.00781763790397263,0.372502509025428,0.372502509025428,0,203.645503077215,NaN,17.503468210404,6.42944221665591,633.333333333333,NaN,NaN,0.408260607079116
